Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
5483,2,0,0,1,1,0,0
1769,2,1,0,1,0,1,1
5847,1,0,0,1,0,1,0
364,1,1,0,0,0,0,1
3324,1,0,0,1,0,1,0
3397,1,0,0,1,0,1,0
2438,1,0,0,1,0,1,0
422,1,0,0,1,0,1,0
5910,1,0,1,0,0,0,-1
5811,3,0,1,0,2,-2,-1
5801,1,0,0,0,1,-1,0
5254,1,0,0,0,1,-1,0
346,1,0,1,0,0,0,-1
6070,11,0,3,0,8,-8,-3
1736,1,0,0,0,1,-1,0
1796,1,0,0,0,1,-1,0
5232,1,0,1,0,0,0,-1
1684,1,0,0,0,1,-1,0
2733,1,0,0,1,0,1,0
686,1,0,0,1,0,1,0
812,1,0,1,0,0,0,-1
4377,1,0,0,0,1,-1,0
4216,1,0,0,0,1,-1,0
3019,1,1,0,0,0,0,1
3604,2,2,0,0,0,0,2
5899,1,0,0,1,0,1,0
5805,1,0,0,1,0,1,0
2046,1,0,1,0,0,0,-1
70,1,0,1,0,0,0,-1
971,1,0,0,0,1,-1,0
231,1,0,0,0,1,-1,0
5839,1,0,0,0,1,-1,0
4594,1,0,1,0,0,0,-1
4718,1,0,0,0,1,-1,0
5911,3,1,1,1,0,1,0
2706,12,1,3,2,6,-4,-2
5821,1,0,0,1,0,1,0
5834,18,0,4,5,9,-4,-4
6009,11,1,1,3,6,-3,0
1360,9,3,1,2,3,-1,2
5883,1,0,0,1,0,1,0
6052,2,0,0,1,1,0,0
6110,9,2,1,3,3,0,1
5409,11,1,3,4,3,1,-2
6130,1,0,0,1,0,1,0
5024,8,1,2,2,3,-1,-1
4936,5,1,1,1,2,-1,0
4902,2,0,1,1,0,1,-1
4932,3,0,1,2,0,2,-1
6202,2,0,1,1,0,1,-1
910,1,1,0,0,0,0,1
5516,5,2,2,0,1,-1,0
987,5,2,2,1,0,1,0
4613,3,0,0,0,3,-3,0
6706,3,1,0,0,2,-2,1
9079,1,0,1,0,0,0,-1
5522,1,0,1,0,0,0,-1
9067,1,0,0,0,1,-1,0
9090,1,0,0,0,1,-1,0
9013,1,1,0,0,0,0,1
9071,1,1,0,0,0,0,1
9069,1,0,0,1,0,1,0
4953,1,0,0,1,0,1,0
9064,1,0,0,1,0,1,0
6771,1,1,0,0,0,0,1
6354,1,0,0,1,0,1,0
9068,1,0,0,1,0,1,0
5445,1,0,1,0,0,0,-1
9085,1,0,1,0,0,0,-1
6353,1,0,0,0,1,-1,0
6399,1,0,0,0,1,-1,0
6356,1,0,1,0,0,0,-1
6392,1,0,1,0,0,0,-1
9059,1,0,0,0,1,-1,0
6386,1,0,0,0,1,-1,0
6393,1,0,1,0,0,0,-1
9047,1,0,1,0,0,0,-1
6487,1,0,0,0,1,-1,0
9066,1,0,0,0,1,-1,0
6304,1,0,0,0,1,-1,0
2204,1,0,1,0,0,0,-1
9082,1,0,1,0,0,0,-1
5451,1,0,0,0,1,-1,0
9075,1,0,0,0,1,-1,0
9078,1,0,0,0,1,-1,0
5453,2,0,0,2,0,2,0
5823,2,0,0,2,0,2,0
6514,10,2,1,3,4,-1,1
5406,8,1,1,1,5,-4,0
4248,3,0,1,1,1,0,-1
5324,3,1,0,1,1,0,1
5885,4,1,1,0,2,-2,0
1374,14,1,2,6,5,1,-1
6336,2,1,0,1,0,1,1
5870,8,0,2,4,2,2,-2
6513,6,1,1,2,2,0,0
746,13,4,5,2,2,0,-1
5428,5,0,1,2,2,0,-1
5031,8,1,2,4,1,3,-1
5036,9,2,2,1,4,-3,0
6632,4,0,3,1,0,1,-3
2708,10,2,1,1,6,-5,1
6481,1,1,0,0,0,0,1
6339,2,0,1,0,1,-1,-1
6387,3,1,0,1,1,0,1
6046,1,0,0,1,0,1,0
6725,4,0,2,1,1,0,-2
6323,4,1,1,0,2,-2,0
6342,2,0,1,0,1,-1,-1
6537,2,1,1,0,0,0,0
6330,1,0,0,0,1,-1,0
7267,3,0,2,1,0,1,-2
6135,10,2,2,4,2,2,0
6987,9,1,2,3,3,0,-1
7013,8,2,2,3,1,2,0
6854,6,0,3,1,2,-1,-3
5596,2,0,0,0,2,-2,0
7058,4,0,2,1,1,0,-2
7200,6,1,2,0,3,-3,-1
6878,1,0,1,0,0,0,-1
4968,2,1,0,0,1,-1,1
9987,2,1,0,0,1,-1,1
4015,8,1,2,3,2,1,-1
5921,2,0,1,0,1,-1,-1
6140,8,1,2,1,4,-3,-1
6975,7,1,3,3,0,3,-2
5719,7,0,2,1,4,-3,-2
9986,1,0,1,0,0,0,-1
6865,7,0,3,4,0,4,-3
6859,4,0,1,2,1,1,-1
7176,2,0,1,1,0,1,-1
6864,7,0,2,1,4,-3,-2
7052,3,1,0,1,1,0,1
